Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",91.400600,-136.118600,0.000000,top
"C2","22u","C_0805_2012Metric",91.576000,-148.336000,0.000000,top
"C3","10u","C_0805_2012Metric",91.329400,-130.708400,0.000000,top
"C4","10u","C_0805_2012Metric",93.472000,-141.572400,0.000000,top
"C5","100n","C_0805_2012Metric",52.644000,-52.070000,180.000000,top
"C7","100n","C_0805_2012Metric",91.344600,-128.574800,0.000000,top
"C8","100n","C_0805_2012Metric",93.472000,-139.438800,0.000000,top
"C9","100n","C_0805_2012Metric",49.276000,-85.786000,90.000000,top
"L1","LQH44PN4R7MJ0L","LQH44PN100MJ0L",85.344000,-134.063000,90.000000,top
"L2","LQH44PN4R7MJ0L","LQH44PN100MJ0L",86.106000,-144.985000,90.000000,top
"PS1","TPS61097A-33DBVR","SOT95P280X145-5N",91.506000,-144.760000,90.000000,top
"R1","4.7k","R_0805_2012Metric",53.763500,-43.688000,0.000000,top
"R2","4.7k","R_0805_2012Metric",53.763500,-45.974000,0.000000,top
"R3","0","R_1210_3225Metric",59.436000,-141.162500,-90.000000,top
"R4","0","R_1210_3225Metric",59.690000,-118.425500,90.000000,top
"U1","TPS61222DCK","Texas_R-PDSO-G6",91.314200,-133.538200,180.000000,top
"U3","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",54.676000,-49.022000,0.000000,top
"U4","~","MSOP-8_3x3mm_P0.65mm",76.547500,-120.355000,0.000000,top
